age,gender,education,income,sirius,wharton,worktime
21,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",No,No,12
56,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",No,No,25
40,Female,Graduate or professional degree,"$50,000 - $75,000",Yes,No,13
52,Female,Graduate or professional degree,"Above $150,000",Yes,Yes,33
33,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",No,No,13
55,Male,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,24
24,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,32
40,Female,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,19
35,Female,Bachelor’s degree or other 4-year degree,"Less than $15,000",Yes,No,20
62,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,89
50,Male,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,20
35,Male,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,21
50,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,32
30,Male,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,20
28,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,16
63,Female,High school graduate (or equivalent),"$50,000 - $75,000",Yes,No,31
44,Female,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,21
30,Female,Bachelor’s degree or other 4-year degree,"Less than $15,000",Yes,No,27
31,Male,Graduate or professional degree,"$50,000 - $75,000",Yes,No,35
26,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,23
19,Male,"Some college, no diploma; or Associate’s degree","$75,000 - $150,000",Yes,No,14
41,Male,Bachelor’s degree or other 4-year degree,"$30,000 - $50,000",Yes,No,25
27,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,Yes,16
23,Male,Bachelor’s degree or other 4-year degree,"Less than $15,000",Yes,No,21
29,Female,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",No,No,12
21,Male,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,23
22,Male,Bachelor’s degree or other 4-year degree,"$15,000 - $30,000",Yes,No,22
41,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,20
28,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",No,No,36
39,Male,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,23
53,Female,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",No,No,25
46,Male,Graduate or professional degree,"$30,000 - $50,000",Yes,No,22
31,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,30
40,Male,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,23
25,Male,High school graduate (or equivalent),"$30,000 - $50,000",No,No,30
43,Male,Bachelor’s degree or other 4-year degree,"$75,000 - $150,000",Yes,No,19
31,Female,Bachelor’s degree or other 4-year degree,"$50,000 - $75,000",Yes,No,26
24,Male,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,15
30,Male,"Some college, no diploma; or Associate’s degree","Less than $15,000",Yes,No,23
35,Female,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,22
22,Male,High school graduate (or equivalent),"$15,000 - $30,000",Yes,No,16
34,Female,"Some college, no diploma; or Associate’s degree","$15,000 - $30,000",Yes,No,27
44,Male,"Some college, no diploma; or Associate’s degree","$50,000 - $75,000",Yes,No,28
38,Female,"Some college, no diploma; or Associate’s degree","$30,000 - $50,000",Yes,No,44
